img_id,class_id,class_name,image_path
ILSVRC2012_val_00040353,n02102177,Welsh springer spaniel,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00040353.JPEG
ILSVRC2012_val_00007648,n03992509,potter's wheel,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00007648.JPEG
ILSVRC2012_val_00033956,n03791053,motor scooter,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00033956.JPEG
ILSVRC2012_val_00026413,n02802426,basketball,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00026413.JPEG
ILSVRC2012_val_00014122,n04264628,space bar,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00014122.JPEG
ILSVRC2012_val_00035043,n03920288,Petri dish,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00035043.JPEG
ILSVRC2012_val_00022265,n07590611,hot pot,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00022265.JPEG
ILSVRC2012_val_00039024,n01667778,terrapin,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00039024.JPEG
ILSVRC2012_val_00010704,n03095699,container ship,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00010704.JPEG
ILSVRC2012_val_00013247,n04591713,wine bottle,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00013247.JPEG
ILSVRC2012_val_00015505,n02006656,spoonbill,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00015505.JPEG
ILSVRC2012_val_00010426,n02002556,white stork,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00010426.JPEG
ILSVRC2012_val_00032898,n02966193,carousel,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00032898.JPEG
ILSVRC2012_val_00004922,n03223299,doormat,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00004922.JPEG
ILSVRC2012_val_00033435,n01614925,bald eagle,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00033435.JPEG
ILSVRC2012_val_00028486,n04417672,thatch,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00028486.JPEG
ILSVRC2012_val_00037241,n03916031,perfume,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00037241.JPEG
ILSVRC2012_val_00036931,n03404251,fur coat,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00036931.JPEG
ILSVRC2012_val_00001773,n03868242,oxcart,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00001773.JPEG
ILSVRC2012_val_00015823,n01735189,garter snake,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00015823.JPEG
ILSVRC2012_val_00025307,n02281787,lycaenid,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00025307.JPEG
ILSVRC2012_val_00040945,n02730930,apron,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00040945.JPEG
ILSVRC2012_val_00032858,n03873416,paddle,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00032858.JPEG
ILSVRC2012_val_00005737,n04335435,streetcar,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00005737.JPEG
ILSVRC2012_val_00043360,n03026506,Christmas stocking,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00043360.JPEG
ILSVRC2012_val_00040685,n07583066,guacamole,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00040685.JPEG
ILSVRC2012_val_00018539,n13044778,earthstar,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00018539.JPEG
ILSVRC2012_val_00031974,n02128925,jaguar,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00031974.JPEG
ILSVRC2012_val_00009755,n02098413,Lhasa,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00009755.JPEG
ILSVRC2012_val_00029476,n07711569,mashed potato,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00029476.JPEG
ILSVRC2012_val_00018045,n02096294,Australian terrier,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00018045.JPEG
ILSVRC2012_val_00038040,n07717410,acorn squash,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00038040.JPEG
ILSVRC2012_val_00042802,n03417042,garbage truck,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00042802.JPEG
ILSVRC2012_val_00026387,n02092339,Weimaraner,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00026387.JPEG
ILSVRC2012_val_00037704,n02363005,beaver,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00037704.JPEG
ILSVRC2012_val_00003318,n04557648,water bottle,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00003318.JPEG
ILSVRC2012_val_00030471,n03337140,file,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00030471.JPEG
ILSVRC2012_val_00046423,n02109961,Eskimo dog,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00046423.JPEG
ILSVRC2012_val_00011553,n04131690,saltshaker,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00011553.JPEG
ILSVRC2012_val_00049133,n02281406,sulphur butterfly,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00049133.JPEG
ILSVRC2012_val_00041694,n03495258,harp,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00041694.JPEG
ILSVRC2012_val_00040750,n02342885,hamster,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00040750.JPEG
ILSVRC2012_val_00035821,n02125311,cougar,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00035821.JPEG
ILSVRC2012_val_00023412,n03216828,dock,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00023412.JPEG
ILSVRC2012_val_00016731,n02643566,lionfish,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00016731.JPEG
ILSVRC2012_val_00009895,n02099712,Labrador retriever,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00009895.JPEG
ILSVRC2012_val_00046467,n03325584,feather boa,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00046467.JPEG
ILSVRC2012_val_00012799,n06874185,traffic light,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00012799.JPEG
ILSVRC2012_val_00014463,n03075370,combination lock,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00014463.JPEG
ILSVRC2012_val_00030103,n04296562,stage,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00030103.JPEG
ILSVRC2012_val_00002402,n02104029,kuvasz,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00002402.JPEG
ILSVRC2012_val_00027388,n03961711,plate rack,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00027388.JPEG
ILSVRC2012_val_00008544,n04004767,printer,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00008544.JPEG
ILSVRC2012_val_00042211,n02500267,indri,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00042211.JPEG
ILSVRC2012_val_00025394,n02105251,briard,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00025394.JPEG
ILSVRC2012_val_00006573,n04560804,water jug,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00006573.JPEG
ILSVRC2012_val_00015669,n02500267,indri,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00015669.JPEG
ILSVRC2012_val_00014796,n07590611,hot pot,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00014796.JPEG
ILSVRC2012_val_00019210,n02006656,spoonbill,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00019210.JPEG
ILSVRC2012_val_00039762,n04229816,ski mask,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00039762.JPEG
ILSVRC2012_val_00029641,n02423022,gazelle,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00029641.JPEG
ILSVRC2012_val_00049741,n03697007,lumbermill,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00049741.JPEG
ILSVRC2012_val_00047767,n02114367,timber wolf,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00047767.JPEG
ILSVRC2012_val_00010039,n01986214,hermit crab,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00010039.JPEG
ILSVRC2012_val_00016694,n02138441,meerkat,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00016694.JPEG
ILSVRC2012_val_00049747,n03100240,convertible,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00049747.JPEG
ILSVRC2012_val_00013773,n02971356,carton,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00013773.JPEG
ILSVRC2012_val_00005258,n02101006,Gordon setter,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00005258.JPEG
ILSVRC2012_val_00031287,n04579145,whiskey jug,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00031287.JPEG
ILSVRC2012_val_00020362,n02132136,brown bear,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00020362.JPEG
ILSVRC2012_val_00009499,n01768244,trilobite,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00009499.JPEG
ILSVRC2012_val_00027018,n02788148,bannister,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00027018.JPEG
ILSVRC2012_val_00019071,n09472597,volcano,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00019071.JPEG
ILSVRC2012_val_00025915,n02835271,bicycle-built-for-two,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00025915.JPEG
ILSVRC2012_val_00048194,n02105251,briard,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00048194.JPEG
ILSVRC2012_val_00021629,n07716906,spaghetti squash,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00021629.JPEG
ILSVRC2012_val_00005406,n03958227,plastic bag,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00005406.JPEG
ILSVRC2012_val_00030928,n02089078,black-and-tan coonhound,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00030928.JPEG
ILSVRC2012_val_00013718,n04251144,snorkel,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00013718.JPEG
ILSVRC2012_val_00002009,n03393912,freight car,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00002009.JPEG
ILSVRC2012_val_00002660,n02807133,bathing cap,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00002660.JPEG
ILSVRC2012_val_00014794,n01695060,Komodo dragon,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00014794.JPEG
ILSVRC2012_val_00037516,n01491361,tiger shark,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00037516.JPEG
ILSVRC2012_val_00041883,n04429376,throne,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00041883.JPEG
ILSVRC2012_val_00043943,n03180011,desktop computer,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00043943.JPEG
ILSVRC2012_val_00026987,n03476684,hair slide,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00026987.JPEG
ILSVRC2012_val_00039854,n01775062,wolf spider,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00039854.JPEG
ILSVRC2012_val_00031580,n04462240,toyshop,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00031580.JPEG
ILSVRC2012_val_00040609,n02397096,warthog,ILSVRC/Data/CLS-LOC/val/ILSVRC2012_val_00040609.JPEG
